Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,EFF
1,Shai Gilgeous-Alexander,26,OKC,PG,76,76,34.2,11.3,21.8,51.9,2.1,5.7,37.5,9.2,16.1,57.1,56.89999999999999,7.9,8.8,89.8,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,32.7,MVP-1DPOY-10CPOY-8ASNBA1,30.800000000000004
2,Giannis Antetokounmpo,30,MIL,PF,67,67,34.2,11.8,19.7,60.1,0.2,0.9,22.2,11.6,18.7,62.0,60.7,6.5,10.6,61.7,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4,MVP-3DPOY-8ASNBA1,33.5
3,Nikola Jokić,29,DEN,C,70,70,36.7,11.2,19.5,57.6,2.0,4.7,41.7,9.3,14.8,62.7,62.7,5.2,6.4,80.0,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,29.6,MVP-2CPOY-2ASNBA1,39.8
4,Luka Dončić,25,2TM,PG,50,50,35.4,9.2,20.5,45.0,3.5,9.6,36.8,5.7,10.9,52.2,53.6,6.2,7.9,78.2,0.8,7.4,8.2,7.7,1.8,0.4,3.6,2.5,28.2,,27.2
4,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,46.400000000000006,3.4,9.6,35.4,6.4,11.5,55.50000000000001,54.400000000000006,5.1,6.6,76.7,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,,27.700000000000003
4,Luka Dončić,25,LAL,PG,28,28,35.1,8.8,20.0,43.8,3.6,9.6,37.9,5.1,10.4,49.3,53.0,7.0,8.9,79.10000000000001,0.9,7.2,8.1,7.5,1.6,0.4,3.7,2.4,28.2,,26.6
5,Anthony Edwards,23,MIN,SG,79,79,36.3,9.1,20.4,44.7,4.1,10.3,39.5,5.1,10.1,50.1,54.7,5.3,6.3,83.7,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6,MVP-7CPOY-3ASNBA2,22.20000000000001
6,Jayson Tatum,26,BOS,PF,72,72,36.4,9.2,20.3,45.2,3.5,10.1,34.300000000000004,5.7,10.2,55.900000000000006,53.7,5.0,6.1,81.39999999999999,0.7,8.0,8.7,6.0,1.1,0.5,2.9,2.2,26.8,MVP-4CPOY-10ASNBA1,25.799999999999997
7,Kevin Durant,36,PHO,PF,62,62,36.5,9.5,18.1,52.7,2.6,6.0,43.0,7.0,12.1,57.4,59.8,4.9,5.8,83.89999999999999,0.4,5.7,6.0,4.2,0.8,1.2,3.1,1.7,26.6,AS,24.500000000000004
8,Tyrese Maxey,24,PHI,PG,52,52,37.7,9.2,21.0,43.7,3.1,9.2,33.7,6.1,11.8,51.5,51.1,4.9,5.6,87.9,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,CPOY-10,20.8
9,Cade Cunningham,23,DET,PG,70,70,35.0,9.8,20.8,46.9,2.1,6.0,35.6,7.6,14.8,51.5,52.1,4.5,5.3,84.6,0.8,5.3,6.1,9.1,1.0,0.8,4.4,2.8,26.1,MVP-7ASNBA3,24.1
10,Jalen Brunson,28,NYK,PG,65,65,35.4,9.0,18.5,48.8,2.3,6.1,38.3,6.7,12.4,53.900000000000006,55.1,5.7,6.9,82.1,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26.0,MVP-10CPOY-1ASNBA2,21.899999999999995
11,Paolo Banchero,22,ORL,PF,46,46,34.4,9.0,19.8,45.2,1.9,5.9,32.0,7.1,13.9,50.9,50.0,6.1,8.4,72.7,1.1,6.4,7.5,4.8,0.8,0.6,3.0,2.1,25.9,,21.39999999999999
12,Devin Booker,28,PHO,SG,75,75,37.3,8.7,18.9,46.1,2.4,7.3,33.2,6.3,11.6,54.2,52.5,5.8,6.4,89.4,1.0,3.1,4.1,7.1,0.9,0.2,2.9,2.6,25.6,,21.600000000000005
13,LaMelo Ball,23,CHO,PG,47,47,32.0,8.6,21.3,40.5,3.8,11.2,33.900000000000006,4.8,10.1,47.8,49.4,4.1,4.9,84.3,1.0,3.9,4.9,7.4,1.1,0.3,3.6,3.3,25.2,,18.499999999999996
14,Damian Lillard,34,MIL,PG,58,58,36.1,7.7,17.1,44.8,3.4,9.0,37.6,4.3,8.1,52.8,54.7,6.2,6.8,92.1,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,AS,23.6
15,Anthony Davis,31,2TM,C,51,51,33.5,9.2,17.8,51.6,0.7,2.4,28.2,8.5,15.4,55.3,53.6,5.6,7.2,77.5,2.6,8.9,11.6,3.5,1.2,2.2,2.2,1.9,24.7,AS,28.900000000000002
15,Anthony Davis,31,LAL,C,42,42,34.3,9.5,18.0,52.8,0.7,2.2,29.8,8.9,15.8,56.00000000000001,54.6,6.0,7.6,78.8,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,,30.1
15,Anthony Davis,31,DAL,PF,9,9,29.6,7.8,16.9,46.1,0.8,3.3,23.3,7.0,13.6,51.6,48.4,3.7,5.3,68.8,1.7,8.4,10.1,4.4,0.6,2.2,2.2,1.8,20.0,,22.60000000000001
16,Kyrie Irving,32,DAL,SG,50,50,36.1,8.9,18.9,47.3,2.9,7.2,40.1,6.1,11.7,51.7,54.900000000000006,3.9,4.3,91.6,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7,CPOY-10AS,21.299999999999997
17,Zion Williamson,24,NOP,PF,30,30,28.6,9.6,16.9,56.7,0.1,0.4,23.1,9.5,16.5,57.6,56.99999999999999,5.3,8.0,65.60000000000001,2.5,4.7,7.2,5.3,1.2,0.9,3.0,2.7,24.6,,23.500000000000004
18,Stephen Curry,36,GSW,PG,70,70,32.2,8.1,18.0,44.8,4.4,11.2,39.7,3.6,6.8,53.400000000000006,57.2,4.0,4.3,93.3,0.6,3.9,4.4,6.0,1.1,0.4,2.9,1.4,24.5,MVP-9CPOY-5ASNBA2,21.9
19,LeBron James,40,LAL,SF,70,70,34.9,9.3,18.1,51.3,2.1,5.7,37.6,7.2,12.5,57.4,57.1,3.7,4.7,78.2,1.0,6.8,7.8,8.2,1.0,0.6,3.7,1.4,24.4,MVP-6CPOY-7ASNBA2,27.099999999999994
20,Karl-Anthony Towns,29,NYK,C,72,72,35.0,8.9,16.9,52.6,2.0,4.7,42.0,6.9,12.2,56.7,58.4,4.7,5.7,82.89999999999999,2.9,9.8,12.8,3.1,1.0,0.7,2.7,3.5,24.4,ASNBA3,26.800000000000008
21,Victor Wembanyama,21,SAS,C,46,46,33.2,8.9,18.6,47.6,3.1,8.8,35.2,5.8,9.9,58.6,55.900000000000006,3.4,4.1,83.6,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3,AS,28.0
22,Franz Wagner,23,ORL,SF,60,60,33.7,9.0,19.4,46.3,1.7,5.9,29.5,7.2,13.5,53.5,50.7,4.5,5.2,87.1,0.9,4.8,5.7,4.7,1.3,0.4,2.3,2.5,24.2,,20.4
23,Trae Young,26,ATL,PG,76,76,36.0,7.4,18.1,41.1,2.9,8.4,34.0,4.6,9.7,47.4,49.1,6.5,7.4,87.5,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,CPOY-4AS,22.1
24,Donovan Mitchell,28,CLE,SG,71,71,31.4,8.2,18.6,44.3,3.3,8.9,36.8,5.0,9.7,51.2,53.1,4.2,5.1,82.3,0.8,3.7,4.5,5.0,1.3,0.2,2.1,2.0,24.0,MVP-5CPOY-9ASNBA1,19.599999999999998
25,Cam Thomas,23,BRK,SG,25,23,31.2,8.0,18.2,43.8,2.7,7.8,34.9,5.2,10.4,50.6,51.3,5.3,6.0,88.1,0.6,2.7,3.3,3.8,0.6,0.1,2.5,1.8,24.0,,16.600000000000005
26,Tyler Herro,25,MIA,SG,77,77,35.4,8.5,17.9,47.2,3.3,8.7,37.5,5.2,9.2,56.49999999999999,56.3,3.7,4.2,87.8,0.5,4.7,5.2,5.5,0.9,0.2,2.6,1.1,23.9,AS,22.099999999999998
27,Joel Embiid,30,PHI,C,19,19,30.2,7.4,16.6,44.4,1.2,4.1,29.9,6.2,12.5,49.2,48.1,7.8,8.9,88.2,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8,,22.3
28,De'Aaron Fox,27,2TM,PG,62,62,36.1,8.7,18.8,46.3,1.9,6.1,31.0,6.8,12.6,53.8,51.4,4.2,5.1,82.69999999999999,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.5,,20.099999999999998
28,De'Aaron Fox,27,SAC,PG,45,45,37.0,9.2,19.6,46.9,2.0,6.4,32.2,7.2,13.3,53.900000000000006,52.1,4.5,5.5,82.89999999999999,1.0,4.0,5.0,6.1,1.5,0.4,3.0,2.6,25.0,,21.0
28,De'Aaron Fox,27,SAS,PG,17,17,34.0,7.4,16.5,44.6,1.5,5.6,27.4,5.8,10.9,53.5,49.3,3.5,4.2,81.89999999999999,0.5,3.8,4.3,6.8,1.5,0.3,2.4,2.7,19.7,,17.699999999999996
29,Zach LaVine,29,2TM,SG,74,74,35.2,8.4,16.5,51.1,3.2,7.2,44.6,5.2,9.3,56.2,60.9,3.2,3.9,82.5,0.3,4.0,4.3,4.2,0.8,0.2,2.8,1.6,23.3,,19.600000000000005
29,Zach LaVine,29,CHI,SF,42,42,34.1,8.6,16.9,51.1,3.2,7.3,44.6,5.4,9.6,56.00000000000001,60.7,3.5,4.3,79.7,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24.0,,20.9
29,Zach LaVine,29,SAC,SG,32,32,36.6,8.2,16.0,51.1,3.2,7.2,44.6,5.0,8.8,56.39999999999999,61.1,2.8,3.2,87.4,0.3,3.2,3.5,3.8,0.6,0.1,2.7,1.8,22.4,,17.700000000000003
30,Ja Morant,25,MEM,PG,50,50,30.4,8.1,17.8,45.4,1.8,5.7,30.9,6.3,12.1,52.3,50.4,5.3,6.4,82.39999999999999,0.7,3.4,4.1,7.3,1.2,0.2,3.7,2.3,23.2,,19.2
31,James Harden,35,LAC,PG,79,79,35.3,6.7,16.4,41.0,3.0,8.5,35.2,3.7,7.9,47.2,50.1,6.4,7.3,87.4,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,22.8,MVP-10ASNBA3,22.5
32,Jaylen Brown,28,BOS,SF,63,63,34.3,8.2,17.7,46.3,1.8,5.7,32.4,6.4,12.1,52.900000000000006,51.5,3.9,5.1,76.4,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,22.2,AS,18.3
33,DeMar DeRozan,35,SAC,SF,77,77,35.9,8.1,17.0,47.7,1.1,3.3,32.800000000000004,7.0,13.7,51.3,50.9,4.9,5.7,85.7,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,22.2,,18.7
34,Brandon Ingram,27,NOP,SF,18,18,33.1,8.6,18.5,46.5,2.4,6.4,37.4,6.2,12.1,51.4,53.0,2.6,3.1,85.5,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,,17.8
35,Jaren Jackson Jr.,25,MEM,C,74,74,29.8,8.0,16.4,48.8,2.0,5.3,37.5,6.0,11.1,54.1,54.8,4.2,5.4,78.10000000000001,1.2,4.4,5.6,2.0,1.2,1.5,2.1,3.5,22.2,DPOY-7ASDEF2,17.3
36,Norman Powell,31,LAC,SG,60,60,32.6,7.6,15.8,48.4,3.0,7.1,41.8,4.6,8.6,53.8,57.8,3.6,4.4,80.4,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.9,21.8,,15.799999999999997
37,Jalen Williams,23,OKC,SG,69,69,32.4,8.2,16.9,48.4,1.8,4.9,36.5,6.4,12.0,53.3,53.7,3.4,4.3,78.9,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,21.6,ASNBA3DEF2,20.200000000000003
38,Kawhi Leonard,33,LAC,SF,37,37,31.9,8.4,16.8,49.8,2.1,5.1,41.1,6.3,11.7,53.6,56.00000000000001,2.6,3.3,81.0,0.9,5.0,5.9,3.1,1.6,0.5,1.9,1.5,21.5,,20.1
39,Jamal Murray,27,DEN,PG,67,67,36.1,7.9,16.7,47.4,2.3,5.9,39.3,5.6,10.8,51.8,54.3,3.3,3.7,88.6,0.7,3.2,3.9,6.0,1.4,0.5,2.1,1.9,21.4,,19.999999999999996
40,Trey Murphy III,24,NOP,SF,53,51,35.0,7.2,15.8,45.4,3.0,8.3,36.1,4.2,7.6,55.60000000000001,54.8,3.8,4.3,88.7,0.9,4.2,5.1,3.5,1.1,0.7,1.9,2.1,21.2,,18.499999999999996
41,RJ Barrett,24,TOR,SF,58,58,32.2,7.9,16.9,46.8,1.8,5.3,35.0,6.1,11.7,52.2,52.3,3.4,5.4,63.0,1.1,5.3,6.3,5.4,0.8,0.3,2.8,2.4,21.1,,17.7
42,CJ McCollum,33,NOP,PG,56,56,32.7,7.9,17.9,44.4,3.1,8.2,37.3,4.9,9.7,50.5,53.0,2.2,3.1,71.7,0.8,3.0,3.8,4.1,0.8,0.4,1.9,2.2,21.1,,15.200000000000001
43,Jalen Green,22,HOU,SG,82,82,32.9,7.4,17.5,42.3,2.9,8.1,35.4,4.6,9.5,48.2,50.5,3.3,4.1,81.3,0.5,4.0,4.6,3.4,0.9,0.3,2.5,1.5,21.0,,15.3
44,Brandon Miller,22,CHO,SF,27,27,34.2,7.3,18.2,40.3,3.9,10.9,35.5,3.5,7.3,47.5,50.9,2.5,2.9,86.1,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0,,14.500000000000004
45,Darius Garland,25,CLE,PG,75,75,30.7,7.4,15.7,47.2,2.8,7.1,40.1,4.6,8.6,53.0,56.2,3.0,3.4,87.8,0.6,2.2,2.9,6.7,1.2,0.1,2.5,1.9,20.6,CPOY-6AS,18.4
46,Jordan Poole,25,WAS,SG,68,68,29.4,6.7,15.5,43.2,3.5,9.1,37.8,3.3,6.4,51.0,54.400000000000006,3.6,4.0,88.3,0.5,2.5,3.0,4.5,1.3,0.4,3.0,3.0,20.5,,14.499999999999998
47,Coby White,24,CHI,SG,74,73,33.1,6.9,15.1,45.3,2.9,7.9,37.0,3.9,7.3,54.400000000000006,55.00000000000001,3.7,4.1,90.2,0.3,3.4,3.7,4.5,0.9,0.2,2.4,2.1,20.4,,16.599999999999998
48,Miles Bridges,26,CHO,PF,64,64,31.7,7.3,17.0,43.1,2.2,7.0,31.3,5.1,10.0,51.3,49.5,3.5,4.0,87.0,1.1,6.4,7.5,3.9,0.7,0.7,2.1,1.5,20.3,,19.300000000000004
49,Austin Reaves,26,LAL,SG,73,73,34.9,6.5,14.2,46.0,2.7,7.3,37.7,3.8,6.9,54.7,55.60000000000001,4.4,5.0,87.7,0.8,3.7,4.5,5.8,1.1,0.3,2.4,2.1,20.2,,19.1
50,Pascal Siakam,30,IND,PF,78,78,32.7,7.9,15.2,51.9,1.6,4.2,38.9,6.2,11.0,56.8,57.2,2.9,3.9,73.4,1.7,5.2,6.9,3.4,0.9,0.5,1.4,2.4,20.2,AS,19.8
51,Kristaps Porziņģis,29,BOS,C,42,42,28.8,6.6,13.7,48.3,2.5,6.0,41.2,4.1,7.7,53.7,57.2,3.8,4.7,80.9,1.6,5.1,6.8,2.1,0.7,1.5,1.3,2.8,19.5,,18.5
52,Scottie Barnes,23,TOR,PF,65,65,32.8,7.3,16.4,44.6,1.2,4.3,27.1,6.1,12.0,50.8,48.2,3.5,4.6,75.5,1.7,6.0,7.7,5.8,1.4,1.0,2.8,1.7,19.3,,20.5
53,Anfernee Simons,25,POR,SG,70,70,32.7,6.8,16.1,42.6,3.1,8.5,36.3,3.8,7.6,49.6,52.1,2.5,2.8,90.2,0.4,2.3,2.7,4.8,0.9,0.1,2.0,1.7,19.3,,14.5
54,Desmond Bane,26,MEM,SG,69,68,32.0,7.1,14.8,48.4,2.4,6.1,39.2,4.8,8.7,54.8,56.49999999999999,2.6,2.9,89.4,0.9,5.2,6.1,5.3,1.2,0.4,2.4,2.4,19.2,,19.399999999999995
55,Domantas Sabonis,28,SAC,C,70,70,34.7,7.5,12.8,59.0,0.9,2.2,41.7,6.6,10.5,62.7,62.7,3.1,4.1,75.4,3.8,10.1,13.9,6.0,0.7,0.4,2.9,3.3,19.1,,27.6
56,Alperen Şengün,22,HOU,C,76,76,31.5,7.5,15.0,49.6,0.3,1.2,23.3,7.2,13.9,51.9,50.5,3.9,5.6,69.19999999999999,3.4,6.9,10.3,4.9,1.1,0.8,2.6,2.8,19.1,AS,21.6
57,John Collins,27,UTA,PF,40,31,30.5,7.0,13.3,52.7,1.5,3.7,39.900000000000006,5.5,9.6,57.7,58.3,3.5,4.1,84.8,2.2,6.0,8.2,2.0,1.0,1.0,2.6,2.9,19.0,,18.799999999999997
58,Lauri Markkanen,27,UTA,PF,47,47,31.4,6.3,14.9,42.3,2.9,8.5,34.599999999999994,3.4,6.4,52.5,52.1,3.4,3.9,87.6,1.5,4.4,5.9,1.5,0.7,0.4,1.4,1.7,19.0,,15.299999999999995
59,Jalen Johnson,23,ATL,SF,36,36,35.7,7.5,15.1,50.0,1.2,3.9,31.2,6.3,11.1,56.6,54.1,2.6,3.5,74.6,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,,23.200000000000003
60,Cameron Johnson,28,BRK,PF,57,57,31.6,6.2,13.1,47.5,2.8,7.2,39.0,3.4,5.9,57.8,58.2,3.5,3.9,89.3,0.9,3.4,4.3,3.4,0.9,0.4,1.7,1.8,18.8,,17.0
61,Julius Randle,30,MIN,PF,69,69,32.3,6.6,13.6,48.5,1.6,4.6,34.4,5.0,9.1,55.50000000000001,54.2,3.9,4.9,80.60000000000001,2.1,5.0,7.1,4.7,0.7,0.2,2.8,2.5,18.7,,18.099999999999994
62,Tyrese Haliburton,24,IND,PG,73,73,33.6,6.5,13.8,47.3,3.0,7.7,38.8,3.5,6.1,58.1,58.2,2.6,3.0,85.1,0.6,3.0,3.5,9.2,1.4,0.7,1.6,1.3,18.6,NBA3,22.800000000000004
63,Evan Mobley,23,CLE,PF,71,71,30.5,7.1,12.8,55.7,1.2,3.2,37.0,5.9,9.5,62.1,60.4,3.1,4.3,72.5,2.3,7.0,9.3,3.2,0.9,1.6,2.0,2.0,18.5,MVP-10DPOY-1ASNBA2DEF1,22.6
64,Shaedon Sharpe,21,POR,SG,72,52,31.3,6.9,15.3,45.2,2.0,6.6,31.1,4.9,8.8,55.7,51.9,2.6,3.4,78.5,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,18.5,,13.899999999999999
65,Nikola Vučević,34,CHI,C,73,72,31.2,7.5,14.2,53.0,1.8,4.4,40.2,5.8,9.8,58.7,59.2,1.6,2.0,80.5,2.4,7.6,10.1,3.5,0.8,0.7,1.6,2.2,18.5,,22.700000000000003
66,Collin Sexton,26,UTA,SG,63,61,27.9,6.6,13.8,48.0,1.7,4.3,40.6,4.9,9.5,51.3,54.3,3.4,4.0,86.5,1.0,1.8,2.7,4.2,0.7,0.1,2.5,2.3,18.4,,13.499999999999998
67,Michael Porter Jr.,26,DEN,SF,77,77,33.7,6.9,13.6,50.4,2.5,6.4,39.5,4.4,7.3,59.9,59.6,1.9,2.5,76.8,1.8,5.2,7.0,2.1,0.6,0.5,1.4,2.0,18.2,,17.700000000000003
68,Bam Adebayo,27,MIA,C,78,78,34.3,6.9,14.3,48.5,1.0,2.8,35.7,5.9,11.4,51.7,52.1,3.2,4.2,76.5,2.4,7.2,9.6,4.3,1.3,0.7,2.1,2.1,18.1,DPOY-10,21.4
69,Andrew Wiggins,29,2TM,SF,60,60,30.7,6.3,14.0,44.8,2.2,5.8,37.4,4.1,8.2,50.1,52.6,3.3,4.3,76.3,1.5,3.0,4.5,2.6,1.0,0.8,1.7,1.7,18.0,,14.800000000000002
69,Andrew Wiggins,29,GSW,SF,43,43,30.1,6.1,13.7,44.4,2.2,5.8,37.9,3.9,7.9,49.1,52.400000000000006,3.2,4.2,77.7,1.5,3.0,4.6,2.4,0.9,0.8,1.3,1.6,17.6,,14.8
69,Andrew Wiggins,29,MIA,SF,17,17,32.1,6.8,14.8,45.8,2.1,5.9,36.0,4.6,8.9,52.3,53.0,3.4,4.6,73.1,1.4,2.9,4.2,3.3,1.2,1.0,2.5,1.8,19.0,,15.2
70,OG Anunoby,27,NYK,PF,74,74,36.6,6.6,13.9,47.6,2.3,6.2,37.2,4.3,7.7,56.10000000000001,55.900000000000006,2.5,3.1,81.0,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,18.0,,15.799999999999999
71,Mikal Bridges,28,NYK,SF,82,82,37.0,7.2,14.4,50.0,2.0,5.6,35.4,5.2,8.8,59.4,56.99999999999999,1.2,1.4,81.39999999999999,0.9,2.3,3.2,3.7,0.9,0.5,1.6,1.5,17.6,,15.399999999999999
72,Jaden Ivey,22,DET,SG,30,30,29.9,6.3,13.8,46.0,2.1,5.1,40.9,4.2,8.6,49.0,53.6,2.8,3.9,73.3,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,,13.2
73,Jimmy Butler,35,2TM,SF,55,55,31.7,5.5,10.9,50.4,0.6,1.9,30.8,4.9,9.0,54.6,53.1,6.0,7.1,84.2,2.3,3.1,5.4,5.4,1.4,0.3,1.3,0.9,17.5,,21.299999999999997
73,Jimmy Butler,35,MIA,PF,25,25,30.6,5.7,10.5,54.0,0.5,1.4,36.1,5.2,9.1,56.8,56.49999999999999,5.2,6.4,80.10000000000001,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0,,20.4
73,Jimmy Butler,35,GSW,SF,30,30,32.7,5.3,11.1,47.6,0.6,2.3,27.9,4.7,8.9,52.6,50.4,6.7,7.7,87.0,2.3,3.2,5.5,5.9,1.7,0.3,1.5,1.0,17.9,,21.999999999999996
74,Dejounte Murray,28,NOP,PG,31,31,32.6,6.3,15.9,39.3,1.7,5.6,29.9,4.6,10.3,44.4,44.5,3.3,4.0,82.3,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,,18.099999999999994
75,Malik Monk,26,SAC,SG,65,45,31.6,6.3,14.4,43.9,2.1,6.6,32.5,4.2,7.9,53.400000000000006,51.3,2.4,2.7,86.5,0.5,3.3,3.8,5.6,0.9,0.6,2.4,2.4,17.2,,14.899999999999999
76,Immanuel Quickley,25,TOR,PG,33,33,27.8,5.6,13.3,42.0,2.6,6.8,37.8,3.0,6.5,46.5,51.7,3.4,3.9,86.7,0.5,3.1,3.5,5.8,0.7,0.1,1.8,1.8,17.1,,15.400000000000002
77,De'Andre Hunter,27,2TM,SF,64,9,27.2,5.6,11.9,47.0,2.5,6.1,40.5,3.1,5.8,53.7,57.3,3.4,4.0,84.6,0.7,3.3,4.0,1.4,0.8,0.2,1.3,2.4,17.0,6MOY-4,12.799999999999999
77,De'Andre Hunter,27,ATL,SF,37,4,28.8,6.1,13.3,46.1,2.6,6.7,39.3,3.5,6.6,53.1,56.00000000000001,4.1,4.8,85.8,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,19.0,,13.399999999999999
77,De'Andre Hunter,27,CLE,SF,27,5,25.0,4.9,10.0,48.5,2.2,5.2,42.6,2.6,4.8,55.00000000000001,59.6,2.4,2.9,82.1,0.6,3.6,4.2,1.3,0.7,0.3,0.9,2.5,14.3,,11.8
78,Bradley Beal,31,PHO,SG,53,38,32.1,6.5,13.1,49.7,1.9,5.0,38.6,4.6,8.1,56.49999999999999,57.1,2.1,2.6,80.30000000000001,0.6,2.7,3.3,3.7,1.1,0.5,1.9,2.6,17.0,,14.000000000000002
79,Deni Avdija,24,POR,SF,72,54,30.0,5.6,11.7,47.6,1.7,4.8,36.5,3.8,7.0,55.2,55.00000000000001,4.0,5.2,78.0,1.5,5.7,7.3,3.9,1.0,0.5,2.7,2.4,16.9,,17.2
80,Keyonte George,21,UTA,PG,67,35,31.5,5.4,13.7,39.1,2.6,7.6,34.300000000000004,2.8,6.1,44.9,48.5,3.5,4.3,81.8,0.4,3.4,3.8,5.6,0.7,0.1,2.7,1.7,16.8,,13.500000000000004
81,Ivica Zubac,27,LAC,C,80,80,32.8,7.4,11.8,62.8,0.0,0.0,,7.4,11.8,62.8,62.8,2.0,3.0,66.10000000000001,3.8,8.9,12.6,2.7,0.7,1.1,1.6,2.1,16.8,DPOY-6DEF2,24.800000000000004
82,Derrick White,30,BOS,SG,76,76,33.9,5.6,12.6,44.2,3.5,9.1,38.4,2.1,3.5,59.3,57.99999999999999,1.8,2.1,83.89999999999999,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4,DPOY-10,16.9
83,Malik Beasley,28,DET,SG,82,18,27.8,5.6,13.1,43.0,3.9,9.3,41.6,1.7,3.7,46.6,57.9,1.2,1.7,67.9,0.6,2.0,2.6,1.7,0.9,0.1,1.0,1.5,16.3,6MOY-2,11.100000000000001
84,Devin Vassell,24,SAS,SG,64,53,31.0,6.2,13.9,44.3,2.5,6.7,36.8,3.7,7.2,51.3,53.2,1.5,1.9,79.2,0.5,3.5,4.0,2.9,1.3,0.5,1.4,1.7,16.3,,13.799999999999999
85,Jordan Clarkson,32,UTA,SG,37,9,26.0,5.4,13.3,40.8,2.3,6.3,36.2,3.2,7.1,44.8,49.3,3.1,3.9,79.7,0.7,2.5,3.2,3.7,0.8,0.2,2.3,1.4,16.2,,11.7
86,Paul George,34,PHI,PF,41,41,32.5,6.0,13.9,43.0,2.3,6.5,35.8,3.6,7.4,49.3,51.4,1.9,2.4,81.39999999999999,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,16.2,,14.600000000000001
87,Jalen Suggs,23,ORL,PG,35,35,28.6,5.6,13.7,41.0,2.2,6.9,31.4,3.5,6.8,50.6,48.9,2.8,3.1,88.2,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,,12.199999999999998
88,Bennedict Mathurin,22,IND,SF,72,49,29.8,5.4,11.8,45.8,1.4,4.0,34.0,4.1,7.8,51.9,51.6,3.8,4.6,83.1,1.2,4.1,5.3,1.9,0.7,0.3,1.9,2.3,16.1,,12.900000000000002
89,Myles Turner,28,IND,C,72,72,30.2,5.4,11.3,48.1,2.2,5.5,39.6,3.3,5.8,56.10000000000001,57.7,2.6,3.3,77.3,1.3,5.3,6.5,1.5,0.8,2.0,1.7,2.5,15.6,,15.600000000000001
90,Christian Braun,23,DEN,SG,79,77,33.9,6.0,10.4,57.99999999999999,1.1,2.8,39.7,4.9,7.6,64.8,63.4,2.2,2.7,82.69999999999999,1.2,3.9,5.2,2.6,1.1,0.5,1.0,2.2,15.4,,16.700000000000003
91,Jonathan Kuminga,22,GSW,PF,47,10,24.3,5.5,12.1,45.4,1.0,3.2,30.5,4.5,8.9,50.8,49.5,3.3,5.0,66.8,1.2,3.4,4.6,2.2,0.8,0.4,1.5,1.9,15.3,,11.599999999999998
92,Jared McCain,20,PHI,SG,23,8,25.7,5.5,11.9,46.0,2.2,5.8,38.3,3.3,6.1,53.2,55.3,2.1,2.4,87.5,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,ROY-7,11.099999999999998
93,Mark Williams,23,CHO,C,44,41,26.6,6.1,10.2,60.4,0.0,0.1,0.0,6.1,10.1,60.9,60.4,3.0,3.7,80.4,3.0,7.2,10.2,2.5,0.7,1.2,1.6,2.4,15.3,,21.099999999999998
94,Kelly Oubre Jr.,29,PHI,SF,60,57,34.6,5.8,12.4,47.0,1.2,4.0,29.3,4.6,8.3,55.50000000000001,51.8,2.3,3.1,75.1,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1,,13.299999999999999
